"Path","Hash","Bytes"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\Richborough Estates and LPDF - a new normal for housebuilding (3) (2) (1) (1).pdf","1b42281af0f4bb57af64a082f2b7157e6555d717770468c6ffbe2346a946582e","694442"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\Shiller, Robert J - Irrational Exuberance 3rd edition-Princeton University Press (2015).pdf","ef698047a4bfcf725f887a2a1fc35419e5cd8da75dd029afd95c0dd6448a2257","7089545"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\SocialRentHousingatPacePlaybook_May24 (1).pdf","8c53a018a9ad1052e976da64e3e469d8f28f442008185191c8139e5b076435dd","6479245"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\ten-steps-to-affordable-housing-the-new-circuit-of-credit.pdf","5f2486351a5cf90b1bb48041ef04422cdcab7d8f6898639eee9eb4ce0a9bb6a4","508457"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\The Ending of the Long Monetary Expansion Cycle and a Brave new world of Housing Realism (4).pdf","7ed555a64e58f16941690552370c36ed0c0d6765b69219370d2b77f675bebe82","432779"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\The-Housing-Stock-of-the-United-Kingdom_Report_BRE-Trust (1).pdf","caba31710e29b10d8b3712ead10ee9df59702ff5350e0771742952094289feaf","5532632"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\Thinking-outside-the-box-Exploring-innovations-in-affordable-home-ownership-Final-for-publication-11.11.20 (2) (1).pdf","390300d09634aa5bf947f4b2876239a578b5587735f8dac66a7dcc1311f9378b","1033408"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\www_economicsnetwork_ac_uk_archive_starkey_banking2 (2).pdf","0adc3dbe10f586c4aadbf186ef0edf81bf56b751128c7a9e57ae77d3f6b89a15","1266721"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\www_linkedin_com_pulse_data_has_caught_up_plain_english_comm (1).pdf","5127f72825b4bf269eeb31a4c333de1ad745c7ec0ae1efc6d9efa89a47bc8c93","4361279"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\www_linkedin_com_pulse_housing_credit_broad_money_real_econo (1).pdf","7e734d79cdb3855f3ccd1117ac7dbe0d82ac4568bb4a1e5757edc1d01b8969ad","3702527"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs\www_linkedin_com_pulse_title_when_housing_market_freezes_wha (1).pdf","525c6e8a7920766a4cfb8e8200b9ad2a3fb107331bb5d4b1fb4e187393485cb7","3980381"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100031\figures\exhibit_1_turnover_cashshare_annual.png","899922d7743116601b0f64be645569768dbae65e72d5063629cedc495678d418","119220"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100031\figures\exhibit_2a_transaction_levels_annual.png","71fa1d80641c88bb095ea42a77eb836815895310df15020820c35116ae153253","115814"
"C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100031\figures\exhibit_2b_transaction_mix_shares_annual.png","bb8e7b0a8b0937f69b4505495f06c9e30c9a2e4aa9b7eebab04342f09926abd6","76749"
