"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Sales volume Cash purchases","Pivotable date"
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-09,,quarterly,,1976-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-10,,quarterly,,1976-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-10,,quarterly,,1976-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-11,,quarterly,,1976-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-11,,quarterly,,1976-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1976-12,,quarterly,,1976-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1976-12,,quarterly,,1976-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-01,,quarterly,,1977-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-01,,quarterly,,1977-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-02,,quarterly,,1977-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-02,,quarterly,,1977-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-03,,quarterly,,1977-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-03,,quarterly,,1977-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-04,,quarterly,,1977-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-04,,quarterly,,1977-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-05,,quarterly,,1977-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-05,,quarterly,,1977-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-06,,quarterly,,1977-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-06,,quarterly,,1977-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-07,,quarterly,,1977-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-07,,quarterly,,1977-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-08,,quarterly,,1977-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-08,,quarterly,,1977-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-09,,quarterly,,1977-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-09,,quarterly,,1977-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-10,,quarterly,,1977-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-10,,quarterly,,1977-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-11,,quarterly,,1977-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-11,,quarterly,,1977-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1977-12,,quarterly,,1977-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1977-12,,quarterly,,1977-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-01,,quarterly,,1978-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-01,,quarterly,,1978-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-02,,quarterly,,1978-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-02,,quarterly,,1978-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-03,,quarterly,,1978-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-03,,quarterly,,1978-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-04,,quarterly,,1978-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-04,,quarterly,,1978-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-05,,quarterly,,1978-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-05,,quarterly,,1978-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-06,,quarterly,,1978-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-06,,quarterly,,1978-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-07,,quarterly,,1978-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-07,,quarterly,,1978-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-08,,quarterly,,1978-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-08,,quarterly,,1978-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-09,,quarterly,,1978-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-09,,quarterly,,1978-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-10,,quarterly,,1978-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-10,,quarterly,,1978-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-11,,quarterly,,1978-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-11,,quarterly,,1978-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1978-12,,quarterly,,1978-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1978-12,,quarterly,,1978-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-01,,quarterly,,1979-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-01,,quarterly,,1979-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-02,,quarterly,,1979-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-02,,quarterly,,1979-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-03,,quarterly,,1979-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-03,,quarterly,,1979-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-04,,quarterly,,1979-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-04,,quarterly,,1979-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1979-05,,quarterly,,1979-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1979-05,,quarterly,,1979-05-01
