Name,quarter,new_build,existing,cash,mortgage,total_transactions,cash_share,cash_share_pct,total_stockmix_check
England,2015-09-30,8030.0,72162.0,25700.0,54409.0,80109.0,0.3208128924340586,32.081289243405855,80192.0
Wales,2015-09-30,384.0,3417.0,1404.0,2388.0,3792.0,0.370253164556962,37.0253164556962,3801.0
England,2015-12-31,9509.0,70857.0,24819.0,55183.0,80002.0,0.3102297442563936,31.02297442563936,80366.0
Wales,2015-12-31,428.0,3701.0,1444.0,2660.0,4104.0,0.35185185185185186,35.18518518518518,4129.0
England,2016-03-31,8957.0,110345.0,44369.0,74734.0,119103.0,0.3725263007648842,37.252630076488416,119302.0
Wales,2016-03-31,317.0,5427.0,2489.0,3238.0,5727.0,0.4346079972062162,43.460799720621615,5744.0
England,2016-06-30,12312.0,61947.0,21717.0,52498.0,74215.0,0.29262278515124973,29.262278515124972,74259.0
Wales,2016-06-30,496.0,3316.0,1249.0,2560.0,3809.0,0.3279075872932528,32.79075872932528,3812.0
England,2016-09-30,8544.0,67570.0,23122.0,52955.0,76077.0,0.3039289141264771,30.39289141264771,76114.0
Wales,2016-09-30,343.0,3711.0,1393.0,2658.0,4051.0,0.34386571216983464,34.38657121698346,4054.0
England,2016-12-31,12985.0,66620.0,23932.0,55623.0,79555.0,0.30082332977185594,30.082332977185594,79605.0
Wales,2016-12-31,619.0,3962.0,1578.0,3001.0,4579.0,0.34461672854335007,34.461672854335006,4581.0
England,2017-03-31,9649.0,64737.0,23503.0,50814.0,74317.0,0.31625334714802805,31.625334714802804,74386.0
Wales,2017-03-31,354.0,3555.0,1440.0,2465.0,3905.0,0.3687580025608195,36.875800256081945,3909.0
England,2017-06-30,13948.0,70379.0,27326.0,56966.0,84292.0,0.32418260333127696,32.4182603331277,84327.0
Wales,2017-06-30,567.0,4124.0,1673.0,3016.0,4689.0,0.3567924930688846,35.67924930688846,4691.0
England,2017-09-30,8984.0,69098.0,23320.0,54727.0,78047.0,0.29879431624533936,29.879431624533936,78082.0
Wales,2017-09-30,338.0,4086.0,1560.0,2863.0,4423.0,0.35270178611801944,35.270178611801946,4424.0
